Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052001;;Podocarpaceae;;Podocarpus;;Podocarpus lambertii;2;2019.644;329;;329;329;329;1300;a;1;0;0;12;4;;;;;;;;;;;;;;;871;I3NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2336675;;Symplocaceae;;Symplocos;;Symplocos uniflora;2;2019.644;153;;153;153;153;1300;an;1;0;4;7;4;;;;;;;;;;;;;;;15265;I1SW9;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051744;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;156;;156;156;156;1300;ah;1;0;4;9;4;;;;;;;;;;;;;;;990d;I2NE2;990d
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052030;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;205;;205;205;205;1300;a;1;0;0;9.5;4;;;;;;;;;;;;;;;891;I3NE3;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051930;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;333;;333;333;333;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;810;I3SE6;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051976;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;170;;170;170;170;1300;a;1;0;0;11;4;;;;;;;;;;;;;;;848;I3SW8;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051381;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;133;;133;133;133;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;633;I1SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051667;;Euphorbiaceae;;Sapium;;Sapium glandulosum;2;2019.644;131;;131;131;131;1300;g;1;0;4;9;4;;;;;;;;;;;;;;;936;I2NW12;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051652;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;172;;172;172;172;1300;ah;1;0;4;9;4;;;;;;;;;;;;;;;926a;I2NW11;926a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051498;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;118;;118;118;118;1300;ah;1;0;4;7;4;;;;;;;;;;;;;;;714a;I1NE1;714a
